id_cliente,idade,renda_anual,divida_atual,historico_pagamento,score_externo,inadimplente
1,56,312506.37,40649.29,18,0.283,1
2,69,217847.87,35906.15,62,0.787,0
3,46,467373.31,47776.18,37,0.397,0
4,32,435040.99,911.63,66,0.514,0
5,60,36931.06,9788.9,58,0.253,0
6,25,27787.98,378.14,68,0.988,0
7,78,197584.73,32373.74,12,0.291,1
8,38,408118.37,44901.53,46,0.771,0
9,56,493828.92,12174.11,60,0.427,0
10,75,87952.19,46351.73,30,0.206,1
11,36,303153.4,3013.37,79,0.8,0
12,40,199732.07,46721.8,95,0.334,0
13,28,485408.48,17581.13,21,0.865,0
14,28,423427.68,5071.04,92,0.915,0
15,41,421589.42,24293.59,85,0.86,0
16,70,242316.18,12838.83,42,0.035,0
17,53,216187.46,14243.65,66,0.787,0
18,57,147602.43,15364.5,53,0.411,0
19,41,42342.12,40151.29,9,0.874,1
20,20,434390.35,26958.06,41,0.638,0
21,39,409256.99,15565.38,63,0.834,0
22,70,499863.07,30516.69,20,0.499,0
23,19,498368.87,35807.53,79,0.535,0
24,41,284384.38,13631.2,75,0.144,0
25,61,387958.9,20677.46,65,0.784,0
26,47,473211.38,6094.3,40,0.419,0
27,55,427078.98,9057.47,23,0.5,0
28,19,134963.83,34055.89,34,0.785,0
29,77,233513.91,9071.92,55,0.599,0
30,38,77642.32,26258.17,29,0.201,1
31,50,477714.75,35452.31,56,0.59,0
32,29,308994.7,5343.85,93,0.408,0
33,75,125891.76,28365.61,46,0.47,0
34,39,340774.83,12828.14,34,0.028,0
35,78,314792.2,48146.34,18,0.21,1
36,61,188708.92,24177.28,7,0.281,1
37,42,70075.43,40299.63,25,0.713,1
38,66,340713.0,27511.33,70,0.011,0
39,44,267349.23,2170.63,29,0.409,0
40,76,389574.42,31657.57,6,0.924,0
41,80,267279.3,47570.17,66,0.112,1
42,59,428308.03,30080.59,64,0.516,0
43,45,282674.82,40959.44,35,0.787,0
44,77,287054.92,44210.32,24,0.943,0
45,33,440177.0,11403.99,36,0.747,0
46,32,210689.19,10602.24,0,0.721,0
47,79,79997.39,30549.05,14,0.826,1
48,79,28959.6,20551.42,36,0.446,1
49,64,381241.57,41993.07,12,0.806,0
50,79,315850.13,45001.16,7,0.008,1
51,68,356478.69,17671.07,4,0.925,0
52,61,118287.62,11843.53,59,0.443,0
53,72,81140.17,39026.28,72,0.553,0
54,69,22054.16,13740.3,0,0.255,1
55,74,185034.97,41130.72,35,0.743,0
56,20,301110.08,21186.91,34,0.077,0
57,54,205238.36,33377.49,65,0.873,0
58,68,227175.34,4776.77,62,0.828,0
59,24,453516.97,31192.97,22,0.216,0
60,38,183903.9,22588.38,8,0.809,0
61,26,264284.9,29330.42,33,0.786,0
62,56,395071.71,8400.71,45,0.632,0
63,35,207323.25,36843.69,77,0.374,0
64,21,316712.05,43139.85,3,0.271,1
65,42,433246.4,10836.99,29,0.232,0
66,77,475517.5,4785.73,94,0.319,0
67,31,86330.64,1181.93,74,0.904,0
68,67,464395.0,32098.58,98,0.078,0
69,75,253676.4,30354.7,71,0.829,0
70,26,140248.53,27334.87,2,0.349,1
71,43,237680.84,11597.35,13,0.522,0
72,70,490315.8,19545.3,59,0.794,0
73,19,253919.78,29723.82,76,0.884,0
74,37,174444.53,24838.34,44,0.345,0
75,45,322199.41,49389.28,95,0.462,0
76,64,131470.63,6821.99,33,0.415,0
77,77,51793.71,34757.23,44,0.013,1
78,24,77506.67,20215.94,60,0.296,0
79,61,77102.23,21409.98,82,0.459,0
80,78,88672.81,35879.89,15,0.411,1
81,25,82331.18,34621.81,65,0.722,0
82,64,325824.25,49562.8,39,0.385,1
83,52,103211.84,6419.71,16,0.489,0
84,31,182648.63,5205.48,33,0.43,0
85,34,449942.38,36216.94,15,0.741,0
86,53,244871.4,28919.35,59,0.863,0
87,67,338765.5,13708.03,65,0.532,0
88,57,98575.14,3970.97,65,0.789,0
89,21,108260.17,4282.91,89,0.297,0
90,19,34821.28,44709.54,12,0.541,1
91,79,96933.51,9593.37,55,0.345,0
92,23,150116.31,16168.58,30,0.414,0
93,71,100850.08,11332.82,33,0.732,0
94,59,58020.73,17749.82,38,0.882,0
95,21,73508.4,3471.19,66,0.121,0
96,71,238477.7,25952.99,7,0.635,0
97,46,115071.85,3380.63,86,0.582,0
98,80,191670.88,40017.83,77,0.118,1
99,35,259157.38,11685.6,54,0.212,0
100,43,349841.49,27000.6,26,0.311,0
101,61,34066.39,44003.95,92,0.167,1
102,51,402714.04,32543.87,52,0.244,0
103,27,319531.69,26647.89,38,0.268,0
104,79,54653.13,16216.69,64,0.336,0
105,53,438685.63,16650.1,16,0.749,0
106,31,461623.11,33474.35,29,0.572,0
107,48,44622.81,49706.97,52,0.986,1
108,65,149285.66,33091.96,12,0.415,1
109,32,406007.62,27889.17,20,0.754,0
110,25,377905.95,36532.53,18,0.871,0
111,31,104492.69,23260.28,52,0.679,0
112,40,116534.42,3007.12,18,0.412,0
113,77,194678.97,28114.84,56,0.754,0
114,74,249993.65,47881.26,24,0.204,1
115,79,314853.56,8765.15,85,0.328,0
116,57,193923.12,34500.24,30,0.547,0
117,38,239329.34,10046.68,80,0.575,0
118,33,377523.4,26791.38,54,0.022,0
119,62,32791.35,4833.82,22,0.945,0
120,35,137431.92,22518.55,31,0.697,0
121,64,360974.55,37808.17,61,0.496,0
122,70,449175.32,17378.58,73,0.933,0
123,41,263163.56,33245.59,9,0.439,0
124,43,273075.04,39772.5,99,0.98,0
125,42,66978.43,46358.89,71,0.512,1
126,77,231995.0,11732.1,53,0.114,0
127,77,273319.37,19965.8,51,0.765,0
128,77,132598.19,7620.8,19,0.679,0
129,62,145582.97,49624.18,31,0.773,1
130,58,197982.82,46350.05,13,0.951,1
131,46,24734.53,26997.86,49,0.776,0
132,32,171208.4,42101.66,27,0.611,1
133,62,117552.28,26047.9,52,0.857,0
134,18,173836.22,31179.28,23,0.673,0
135,42,73084.63,4456.22,78,0.408,0
136,24,446905.73,37763.52,21,0.886,0
137,26,302892.34,6385.67,29,0.222,0
138,41,344364.62,41303.38,62,0.715,0
139,18,397748.05,39101.4,3,0.882,0
140,61,256744.47,35437.23,76,0.731,0
